Type command to execute:
1. Send data (s)
2. Receive data (r)
Command: FFT 511 = 256197, freq = 22006
FFT 481 = 275046, freq = 20714
FFT 477 = 294114, freq = 20542
FFT 472 = 312151, freq = 20327
FFT 467 = 417490, freq = 20112
FFT 459 = 499497, freq = 19767
FFT 511 = 250610, freq = 22006
FFT 509 = 261600, freq = 21920
FFT 507 = 315680, freq = 21834
FFT 502 = 404528, freq = 21619
Data: 0
FFT 511 = 36750.6, freq = 22006
FFT 510 = 57587.5, freq = 21963
FFT 506 = 62668.5, freq = 21791
FFT 497 = 106229, freq = 21404
FFT 453 = 114720, freq = 19509
FFT 447 = 115520, freq = 19250
FFT 440 = 122227, freq = 18949
FFT 432 = 127078, freq = 18604
FFT 511 = 69403, freq = 22006
FFT 493 = 73488.3, freq = 21231
FFT 486 = 87173, freq = 20930
FFT 474 = 114562, freq = 20413
